Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00										RCB031717	deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb 3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		
yes	yes	yes	no	no	1	Lanai	OLP	LY	AH	TC	LMN	LMN230616		Manele Bay	2023-06-16	8:23	4	4	8	4	6					LMN230616	26.6	35.9	6.11	92.4	8.12	6.52	6.94	6.35	6.60	0.046				N	0	5	0	Calm; ferry just departed before we took the sample; algae growing on the ramp; sunny and hot; light breeze. Rained yesterday in Lana'i City, but we're not sure the rain made it to the coast.
yes	yes	yes	no	no	1	Lanai	OLP	LY	AH	JW	LHB	LHB230616		Hulopo'e Beach Park	2023-06-16	8:00	4	4	8	4	6					LHB230616	26.3	35.8	6.61	99.6	8.13	0.82	0.84	0.84	0.83	0.014				N	6	0	0	Sunny, 3' shorebreak, water looked clean; light breeze. Rained yesterday in Lana'i City, but we're not sure the rain made it to the coast.
yes	yes	yes	no	no	2	Lanai	OLP	LY	YSL		LMN	LMN230707		Manele Bay	2023-07-07	7:50	4	4	8	4	6					LMN230707	26.8	36.1	6.12	92.7	8.16	5.49	5.26	5.26	5.34	0.025				N	0	0	0	Light breeze, sunny, tide going out, calm water. Did reading 2x: Salinity = 36.2, DO = 6.10 mg/L & 92.1%. People in samll boat docked next to us as we sampled. They arrived just before smapling ~5 min.
yes	yes	yes	no	no	2	Lanai	OLP	LY	YSL		LHB	LHB230707		Hulopo'e Beach Park	2023-07-07	8:35	4	4	8	4	6					LHB230707	26.7	36.3	6.61	100.0	8.18	0.53	0.46	0.49	0.49	0.071				N	2	1	0	Clear water, partly cloudy, 3' shorebreak. 2nd read: Salinity = 36.3, Temp = 26.6, DO = 6.60 mg/L & 99.7%
yes	yes	yes	no	no	3	Lanai	OLP	LY	MS		LMN	LMN230728		Manele Bay	2023-07-28	8:01	3	1	9	5	5					LMN230728	27.0	35.5	6.07	92.3	8.08	4.12	4.19	3.97	4.09	0.027				N	0	0	0	Receding tide, sunny, no waves, calm water. 4th tubidity  3.97 NTU. *Pre-sampling blank value taken from yesterday's post-sampling blank. Pre-sampling blank step was accidentally skipped before sample was poured into glass vial. Turbidity spare blank read 0.15 NTU and not used.
yes	yes	yes	no	no	3	Lanai	OLP	LY	MS		LHB	LHB230728		Hulopo'e Beach Park	2023-07-28	9:00	3	1	9	5	5					LHB230728	26.9	35.5	6.76	102.7	8.16	1.15	1.20	1.23	1.19	0.034				N	0	1	0	Receding tide, shorebreak ~ 3ft & small, sunny, light breeze
yes	yes	yes	no	no	4	Lanai	NMS	YSL	MS		LMN	LMN230912		Manele Bay	2023-09-12	7:54	4	2	6	4	8					LMN230912	27.4	35.5	6.33	96.3	8.05	5.65	5.62	5.15	5.47	0.051				N	0	0	0	Calm; some overcast; no wind; no people; water murky brown; 4th turbidity taken 4.76
yes	yes	yes	no	no	4	Lanai	NMS	YSL	MS		LHB	LHB230912		Hulopo'e Beach Park	2023-09-12	8:15	4	2	6	4	8					LHB230912	26.7	35.4	6.76	101.9	8.08	0.98	0.97	0.84	0.93	0.084				N	0	0	0	Calm; clear day; slight swell; 4th turbidity taken 1.31
